manufacturer,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,gwp_error_ratio,gwp_manufacturing_ratio,assembly_location,server_type,gwp_transport_ratio,gwp_eol_ratio
Dell,Workplace,Monitor,551.0,0.38,66.73,6.0,EU,0.1797,0.574,China,,0.044000000000000004,0.002
Dell,Workplace,Monitor,498.0,0.272,40.02,6.0,EU,0.243,0.654,China,,0.069,0.004
Dell,Workplace,Monitor,498.0,0.271,40.02,6.0,EU,0.239,0.655,China,,0.069,0.004
Dell,Workplace,Monitor,459,0.2720,39.5655,6,EU,0.1830,0.6520,CN,,,
Dell,Workplace,Monitor,464,0.2690,39.5655,6,EU,0.1875,0.6560,CN,,,
Dell,Workplace,Monitor,464,0.2680,39.5655,6,EU,0.1832,0.6550,CN,,,
Dell,Workplace,Monitor,496,0.2750,43.3155,6,EU,0.1875,0.6470,CN,,,
Dell,Workplace,Monitor,431.0,0.237,32.43,6.0,EU,0.2019,0.687,China,,0,0
Dell,Workplace,Monitor,460.0,0.26700000000000007,23.17,6.0,EU,0.2065,0.667,China,,0,0
Dell,Workplace,Monitor,454.0,0.263,37.98,6.0,EU,0.2048,0.675,China,,0.059000000000000004,0.003
Dell,Workplace,Monitor,478.0,0.29600000000000004,45.15,6.0,EU,0.1967,0.645,China,,0.055,0.003
Dell,Workplace,Monitor,494.0,0.285,45.15,6.0,EU,0.1923,0.65,China,,0.062,0.003
Dell,Workplace,Monitor,497.0,0.213,33.81,6.0,EU,0.2012,0.684,China,,0,0
Dell,Workplace,Monitor,511.0,0.223,36.44,6.0,EU,0.1937,0.672,China,,0,0
Dell,Workplace,Monitor,455.0,0.325,47.09,6.0,EU,0.2154,0.607,China,,0.065,0.004
Dell,Workplace,Monitor,462.0,0.32,47.09,6.0,EU,0.21,0.605,China,,0.071,0.004
Dell,Workplace,Monitor,526.0,0.304,47.09,6.0,EU,0.2471,0.569,China,,0.12,0.008
Dell,Workplace,Laptop,245.0,0.152,17.7,4.0,EU,0.1796,0.804,China,,0,0
Dell,Workplace,Laptop,231.0,0.133,14.76,4.0,EU,0.1948,0.823,China,,0,0
Dell,Workplace,Laptop,216,0.1760,17.98,4,EU,0.1991,0.7700,CN,,,
Dell,Workplace,Laptop,244,0.2760,31.87,4,EU,0.1803,0.6770,CN,,,
Dell,Workplace,Laptop,243,0.1040,14.69,4,EU,0.1811,0.8590,CN,,,
Dell,Workplace,Laptop,257,0.1210,14.7,4,EU,0.1751,0.8300,CN,,,
Dell,Workplace,Laptop,230,0.1290,15.79,4,EU,0.1913,0.8230,CN,,,
Dell,Workplace,Laptop,226,0.1150,13.87,4,EU,0.1947,0.8360,CN,,,
Dell,Workplace,Laptop,293.0,0.121,16.78,4.0,EU,0.2082,0.8390000000000001,China,,0,0
